'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Header 1,"'This article was downloaded by: [George Mason University] On: 09 January 2015, At: 17:01 Publisher: Routledge Informa Ltd Registered in England and Wales Registered Number: 1072954 Registered office: Mortimer House, 37-41 Mortimer Street, London W1T 3JH, UK",'0,'90.96679688
'1,'Figure 1,"",'1,'95.84960938
'1,'Title 1,"'The Military Balance",'2,'35.66894531
'1,'Header 2,"'Publication details, including instructions for authors and subscription information: http://www.tandfonline.com/loi/tmib20",'3,'41.87011719
'1,'Header 3,"'Published online: 22 Jan 2009.",'4,'51.95312500
'1,'Title 2,"'The European balance",'5,'27.36816406
'1,'Text 1,"'To cite this article: (1971) The European balance, The Military Balance, 71:1, 8-26, DOI: 10.1080/04597227108459808 To link to this article: http://dx.doi.org/10.1080/04597227108459808",'6,'94.48242188
'1,'Section header 1,"'PLEASE SCROLL DOWN FOR ARTICLE",'7,'82.51953125
'1,'Text 2,"'Taylor & Francis makes every effort to ensure the accuracy of all the information (the ""Content"") contained in the publications on our platform. However, Taylor & Francis, our agents, and our licensors make no representations or warranties whatsoever as to the accuracy, completeness, or suitability for any purpose of the Content. Any opinions and views expressed in this publication are the opinions and views of the authors, and are not the views of or endorsed by Taylor & Francis. The accuracy of the Content should not be relied upon and should be independently verified with primary sources of information. Taylor and Francis shall not be liable for any losses, actions, claims, proceedings, demands, costs, expenses, damages, and other liabilities whatsoever or howsoever caused arising directly or indirectly in connection with, in relation to or arising out of the use of the Content.",'8,'97.16796875
'1,'Text 3,"'This article may be used for research, teaching, and private study purposes. Any substantial or systematic reproduction, redistribution, reselling, loan, sub-licensing, systematic supply, or distribution in any form to anyone is expressly forbidden. Terms & Conditions of access and use can be found at http://www.tandfonline.com/page/ terms-and-conditions",'9,'94.38476563
'2,'Page number 1,"'8",'10,'86.08398438
'2,'Header 4,"'The European Balance",'11,'66.35742188
'2,'Title 3,"'THE WARSAW PACT",'12,'87.35351563
'2,'Section header 2,"'Treaties",'13,'94.04296875
'2,'Text 4,"'The Warsaw Pact is a multilateral military alliance formed by a 'Treaty of Friendship, Mutual Assistance and Co-operation', which was signed in Warsaw on 14 May 1955 by the Governments of the Soviet Union, Albania, Bulgaria, Czechoslovakia, East Germany, Hungary, Poland and Rumania. (Albania denounced the Pact in September 1968.) According to East European docu- mentary sources the Pact is committed to the defence of only the European territories of the member states.",'14,'97.21679688
'2,'Text 5,"'The Soviet Union is also linked by bilateral treaties of friendship and mutual assistance with Bulgaria, Czechoslovakia, East Germany, Hungary, Poland, and Rumania. All present members of the Warsaw Pact also have similar bilateral treaties with each other. The Soviet Union con- cluded status-of-forces agreements with Poland, East Germany, Rumania and Hungary between December 1956 and May 1957 and with Czechoslovakia in October 1968; all these remain in effect except the one with Rumania which lapsed in June 1958 when Soviet troops left Rumania. The essence of East European defence arrangements is not therefore dependent on the Warsaw Treaty as such.",'15,'96.43554688
'2,'Section header 3,"'Organization",'16,'89.89257813
'2,'Text 6,"'The Organization of the Warsaw Pact has two main bodies.",'17,'35.88867188
'2,'Text 7,"'The first, the Political Consultative Committee, consists, in full session, of the First Secretaries of the Communist Party, Heads of Government and the Foreign and Defence Ministers of the member-countries. It met twice in the year up to July 1971, at which point there had been 17 meetings in all*. The Committee has a Joint Secretariat, headed by a Soviet officer, consisting of a specially appointed official from each country, and a Permanent Commission, whose task is to make recommendations on general questions of foreign policy for Pact members. Both these bodies are located in Moscow.",'18,'86.62109375
