'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Header 1,"'This article was downloaded by: [University of Oklahoma Libraries] On: 28 January 2015, At: 15:20 Publisher: Routledge Informa Ltd Registered in England and Wales Registered Number: 1072954 Registered office: Mortimer House, 37-41 Mortimer Street, London W1T 3JH, UK",'0,'90.57617188
'1,'Figure 1,"",'1,'91.69921875
'1,'Header 2,"'Publication details, including instructions for authors and subscription information: http://www.tandfonline.com/loi/tmib20",'2,'32.03125000
'1,'Title 1,"'The Military Balance",'3,'29.83398438
'1,'Header 3,"'The alliances and Europe Published online: 22 Jan 2009.",'4,'49.41406250
'1,'Text 1,"'To cite this article: (1981) The alliances and Europe, The Military Balance, 81:1, 16-46, DOI: 10.1080/04597228108459913 To link to this article: http://dx.doi.org/10.1080/04597228108459913",'5,'94.33593750
'1,'Section header 1,"'PLEASE SCROLL DOWN FOR ARTICLE",'6,'79.29687500
'1,'Text 2,"'Taylor & Francis makes every effort to ensure the accuracy of all the information (the ""Content"") contained in the publications on our platform. However, Taylor & Francis, our agents, and our licensors make no representations or warranties whatsoever as to the accuracy, completeness, or suitability for any purpose of the Content. Any opinions and views expressed in this publication are the opinions and views of the authors, and are not the views of or endorsed by Taylor & Francis. The accuracy of the Content should not be relied upon and should be independently verified with primary sources of information. Taylor and Francis shall not be liable for any losses, actions, claims, proceedings, demands, costs, expenses, damages, and other liabilities whatsoever or howsoever caused arising directly or indirectly in connection with, in relation to or arising out of the use of the Content.",'7,'97.07031250
'1,'Text 3,"'This article may be used for research, teaching, and private study purposes. Any substantial or systematic reproduction, redistribution, reselling, loan, sub-licensing, systematic supply, or distribution in any form to anyone is expressly forbidden. Terms & Conditions of access and use can be found at http: // www.tandfonline.com/page/terms-and-conditions",'8,'93.45703125
'2,'Page number 1,"'16",'9,'83.34960938
'2,'Header 4,"'The Alliances and Europe",'10,'52.44140625
'2,'Title 2,"'THE WARSAW PACT",'11,'73.19335938
'2,'Section header 2,"'Treaties",'12,'90.03906250
'2,'Text 4,"'The Warsaw Pact is a multilateral military/politico alliance formed by the 'Treaty of Friend- ship, Mutual Assistance and Co-operation' signed in Warsaw on 14 May 1955 by the Govern- ments of the Soviet Union, Albania, Bulgaria, Czechoslovakia, East Germany, Hungary, Poland and Romania; Albania left the Pact in September 1968. The Pact is committed to the defence only of the European territories of the member states.",'13,'97.80273438
'2,'Text 5,"'The Soviet Union is also linked by bilateral treaties of friendship and mutual assistance with Bulgaria, Czechoslovakia, East Germany, Hungary, Poland and Romania. These also have similar bilateral treaties with each other. The essence of East European defence arrangements is not therefore dependent on the Warsaw Treaty as such. The Soviet Union concluded status- of-forces agreements with Poland, East Germany, Romania and Hungary between December 1956 and May 1957, and with Czechoslovakia in October 1968; all remain in effect except the one with Romania, which lapsed in June 1958 when Soviet troops left Romania.",'14,'97.36328125
'2,'Section header 3,"'Organization",'15,'95.75195313
'2,'Text 6,"'The senior formal political body is the Political Consultative Committee (PCC) which com- prises the First Secretaries of the Communist Parties, Heads of Government or their represen- tatives, the Foreign and the Defence Ministers of all the member countries, the Soviet Chief of General Staff and the Commander-in-Chief (C-in-C) and Chief of Staff (C of S) of the Pact Joint High Command. Its executive agency is the Joint Secretariat, with representatives from each country, which is responsible for armaments and logistics and for preparing the PCC's agendas. It also has a Permanent Commission responsible for recommendations on general questions of foreign policy. Both are located in Moscow.",'16,'95.80078125
'2,'Text 7,"'The Council of Foreign Ministers advises the PCC on foreign policy, working with the per- manent Commission and the Combined Secretariat. The senior military body is the Council of Defence Ministers. Chaired by the C-in-C, Warsaw Pact, it includes his C of S, the Deputy Ministers of Defence of the Pact nations, Deputy C-in-C, Soviet Air Defence Forces (whose operational area includes Central Europe), and probably the Inspector-General of the Pact and the Chairman of the Technical Committee. This Council meets infrequently to supervise the work of the Permanent Joint High Command (JHC). That Command is headed by a Soviet Marshal, who is also the Soviet First Deputy Minister of Defence. Each Pact Defence Ministry has a senior general as a permanent representative on the JHC staff, while a Soviet general is assigned to each national HQ, except in Romania. The Staff is responsible for operational plans and for managing the Pact field exercises. The Pact military representatives also form the Mili- tary Council which, chaired by the C-in-C, and including the C of S, advises the JHC on non- operational matters, and controls the Central Administration for training, standardization and, possibly, technical affairs. The offices of C-in-C and C of S and all important staff posts have always been held by Soviet officers.",'17,'96.04492188
'2,'Text 8,"'The JHC controls the Soviet Forces in Eastern Europe and Western USSR. The East Euro- pean Pact armies remain under national control until war breaks out, when they are expected to come under command of the JHC. Among the Soviet military HQ in the Warsaw Pact area are the Group of Soviet Forces, Germany (GSFG) at Zossen-Wünsdorf near Berlin; the North- ern Group of Forces, (NGF) at Legnica, Poland; the Central Group of Forces (CGF) at Milovice, north of Prague, and the Southern Group of Forces (SGF) at Budapest. A Soviet Tactical Air Army is located with each Group of Forces. Command of the air defence system covering the whole Warsaw Pact area, with the probable exception of Romania, is centralized in Moscow and is directed by the C-in-C of the Soviet Air Defence Forces, Voyska Protivovozdushnoy Oborony Strany (PVO Strany).",'18,'94.33593750
'3,'Title 3,"'WARSAW PACT",'19,'46.77734375
'3,'Page number 2,"'17",'20,'86.62109375
'3,'Figure 2,"",'21,'94.77539063
'3,'Text 9,"'Nuclear Weapons",'22,'31.86035156
'3,'Text 10,"'The Soviet Union has deployed short-range surface-to-surface launchers and nuclear-capable aircraft in Eastern Europe. East European countries also have short-range SSM launchers, but there is no evidence that nuclear warheads have been supplied, nor is there any reason to assume so. Soviet longer-range SSM and aircraft are based in the Soviet Union.",'23,'92.77343750
'4,'Page number 3,"'18",'24,'95.80078125
'4,'Header 5,"'WARSAW PACT",'25,'73.48632813
'4,'Section header 4,"'BULGARIA",'26,'40.35644531
'4,'List 1,"",'27,'35.00976563
'4,'Text 11 - Part of List 1,"'Population: 8,900,000.",'28,'28.80859375
