'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Header 1,"'This article was downloaded by: [New York University] On: 15 February 2015, At: 18:40 Publisher: Routledge Informa Ltd Registered in England and Wales Registered Number: 1072954 Registered office: Mortimer House, 37-41 Mortimer Street, London W1T 3JH, UK",'0,'78.71093750
'1,'Figure 1,"",'1,'61.13281250
'1,'Title 1,"'The Military Balance",'2,'44.55566406
'1,'Text 1,"'Publication details, including instructions for authors and subscription information: http://www.tandfonline.com/loi/tmib20",'3,'86.08398438
'1,'Section header 1,"'NATO",'4,'50.78125000
'1,'Text 2,"'Published online: 22 Jan 2009.",'5,'85.69335938
'1,'Text 3,"'To cite this article: (1991) NATO, The Military Balance, 91:1, 46-79, DOI: 10.1080/04597229108460029 To link to this article: http://dx.doi.org/10.1080/04597229108460029",'6,'95.45898438
'1,'Section header 2,"'PLEASE SCROLL DOWN FOR ARTICLE",'7,'82.08007813
'1,'Text 4,"'Taylor & Francis makes every effort to ensure the accuracy of all the information (the ""Content"") contained in the publications on our platform. However, Taylor & Francis, our agents, and our licensors make no representations or warranties whatsoever as to the accuracy, completeness, or suitability for any purpose of the Content. Any opinions and views expressed in this publication are the opinions and views of the authors, and are not the views of or endorsed by Taylor & Francis. The accuracy of the Content should not be relied upon and should be independently verified with primary sources of information. Taylor and Francis shall not be liable for any losses, actions, claims, proceedings, demands, costs, expenses, damages, and other liabilities whatsoever or howsoever caused arising directly or indirectly in connection with, in relation to or arising out of the use of the Content.",'8,'97.21679688
'1,'Text 5,"'This article may be used for research, teaching, and private study purposes. Any substantial or systematic reproduction, redistribution, reselling, loan, sub-licensing, systematic supply, or distribution in any form to anyone is expressly forbidden. Terms & Conditions of access and use can be found at http:// www.tandfonline.com/page/terms-and-conditions",'9,'91.74804688
'2,'Page number 1,"'46",'10,'73.87695313
'2,'Title 2,"'NATO",'11,'65.38085938
'2,'Text 6,"'It has been a significant 12 months for NATO: the signing of the Conventional Armed Forces in Europe Treaty (CFE); the unification of Germany within the Atlantic Alliance; the reduction of the Soviet threat brought about by the collapse of the Warsaw Pact and the agree- ments to withdraw all Soviet armed forces from eastern Europe. As a result of these changes NATO has embarked on a review of its strategy, operational plans and deployment. NATO first signalled its intentions with the London Declaration of 6 July 1990 which stated that 'NATO will prepare a new Allied military strategy moving away from ""forward defence"" where appropriate, towards a reduced forward presence and modifying ""flexible response"" to reflect a reduced reliance on nuclear weapons' and 'a new NATO strategy making nuclear forces truly weapons of last resort'.",'12,'98.73046875
'2,'Text 7,"'The initial euphoria induced by the end of the Cold War, however, has not yet resulted in a military. reorganization in Western Europe. A number of new factors have complicated the scene: virtually all NATO members have embarked on reviews of their armed forces and their contribution to NATO; most are set on making significant force reductions, and treasuries are seeking an elusive, so-called 'peace dividend'. SHAPE has been developing its plans for a restructured NATO force but these have been stymied to some extent by the emerging contro- versy over the shape of European security and whether the EC should develop common foreign and defence policies, in addition to economic and political union. SHAPE is waiting to be informed about the final structure of national forces and member nations are waiting to know what NATO's plans are and what is expected of them. All this has been further compli- cated by the Gulf War and the re-emergence of possible 'out of area' (OOA) roles for multinational standby forces. If not deployed under NATO command, these forces could be 'double hatted' and earmarked for European-sponsored operations (possibly under WEU control) as well as for NATO or national roles.",'13,'97.46093750
'2,'Text 8,"'In any event, the ratification of the CFE Treaty has been delayed because of apparent Soviet dissemblance (detailed on p. 30), and no progress has yet been made in tackling the outstanding CFE matters of limits on military manpower and aerial inspection. Work has not yet started on drafting a mandate for an arms-control treaty covering short-range nuclear weapons.",'14,'72.41210938
'2,'Text 9,"'At the NATO Defence Planning Committee meeting on 28 and 29 May 1991 a general outline and some details of how NATO's Central Region would be structured were given, pending the outcome of NATO's strategy review planned for November 1991. There would be four types of forces: immediate reaction; rapid reaction; main defences; and augmentation. The immediate reaction force would be modelled on the ACE Mobile Force and would con- tain as many national contingents as possible so as to increase its political profile; in peace- time, units in the ACE Mobile Force are already committed to SACEUR and so theoretically can be deployed without lengthy political discussion. The rapid reaction force would be a multinational corps based on those elements of the 1st British Corps which will remain in Germany. It may comprise four divisions: a British armoured division of three brigades based in Germany; a British division based in the UK which would include the airborne brigade, two mechanized brigades and, when necessary, the commando brigade; a multinational air mobile division with brigades found by the UK, Germany and the Netherlands with a Belgian element; and a Southern Flank division, whose detailed composition has not yet been announced, probably commanded by an Italian. The Corps would be commanded by a British General. It would be available for operations throughout NATO and it is possible that some form of 'double hatting' may be introduced to allow the corps, or at any rate major elements of it, to be prepared for OOA operations not under NATO command. All units in the Corps would be active though there will still be conscripts in most units other than the British. The main defence forces will be both active and reserve. In the NATO Central Region there will be five corps: two German, one US and two multinational but based around Belgian and Dutch forces. There will be two further Corps: a joint Danish-German Corps for the defence of the",'15,'94.67773438
'3,'Header 2,"'NATO",'16,'92.48046875
'3,'Page number 2,"'47",'17,'95.16601563
'3,'Text 10,"'Baltic Approaches (Denmark and Schleswig Holstein), and one German Corps in eastern Germany which will have no armoured divisions but will comprise purely Home Defence Brigades and Regiments and which will not be declared to NATO until 1994. Augmentation forces would, as now, come from the US. At present no details are available regarding the restructuring of ground forces outside the Central Region, nor of naval and air forces, nor is it known whether the command organization will be changed.",'18,'98.48632813
'3,'Text 11,"'Most NATO countries have announced substantial reductions to their armed forces, and there will be withdrawals of forces from Germany by all countries which have troops based there. The largest reductions will be made by Germany (which must reduce its combined ground and air force manpower to 370,000 as agreed under the terms of the 'Two Plus Four' agreement on German unification), and by the UK and France.",'19,'96.63085938
'3,'Text 12,"'The next 12 months will be a busy time for NATO as national forces are restructured and multinational plans developed, approved and tested. Should CFE be ratified, there will also be a measure of equipment elimination for NATO but not on the same scale as for the Soviet Union and the former members of the Warsaw Pact (see pp. 229-34 for details). The policy of 'cascading', or 'harmonization' as it has come to be called, will be put into practice. This involves the transfer of more modern surplus equipments to countries armed with less modern versions, and the destruction of their original holdings of older weapons to keep within CFE limits. Finally, there will be verification measures, predominantly inspections both to be mounted and to be received. Most NATO countries have established verification units which provide both inspectors and the infrastructure for managing inspection on their territory.",'20,'97.85156250
'3,'Section header 3,"'Support for the Gulf War",'21,'92.67578125
'3,'Text 13,"'Apart from the US, only two NATO members supplied both ground and air forces to the coalition facing Iraq: the UK and France (Italy and Canada committed air forces only). France was severely restricted in the size of force that it could deploy by the political decision not to send conscripts to the Middle East. Although the UK has all volunteer forces it also faced manpower problems as many units were understrength and others (particularly artil- lery) rely heavily on reservists to expand from peace to war establishment. Reservists would normally provide all the manpower needed to form battle casualty replacement units, and the Territorial Army (TA) provides the bulk of the medical and transport units which reinforce the British Army of the Rhine (BAOR) in wartime. Only medical reservists were recalled for service in the Gulf, some TA and reserves volunteered for a special engagement, and the Reg- ular Army provided the remainder of the shortfall. The British armoured division which deployed to the Gulf with only two brigades plus logistic support took nearly half the man- power of BAOR (an eight brigade sized force). If NATO or a European defence organization is to form a rapid reaction force with OOA roles it must address these two manning problems: volunteer versus conscript forces; and reliance on reserve forces.",'22,'97.46093750
'3,'Text 14,"'Most NATO countries deployed naval units east of Suez to take part in operations to enforce UN sanctions. A measure of co-ordination and co-operation amongst the European navies was instituted by the Western European Union (WEU). While all the navies played a role in enforc- ing the sanctions, only US and UK naval ships later took part in Operations Desert Storm and Desert Sabre. Other non-belligerent naval support was provided. Germany sent a force of mine countermeasure ships to the eastern Mediterranean (these then moved to the Gulf to take part in post-war mineclearing operations), and later sent an exercise group into the Mediterranean to allow other NATO units to move through the Suez Canal without reducing NATO's naval presence. Portugal played a role by contributing sealift. Both NATO's Standing Force Atlantic and Standing Force Channel were deployed on training to the Mediterranean. In January, the UK aircraft carrier Ark Royal also deployed to the Mediterranean.",'23,'97.07031250
