'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Figure 1,"",'0,'79.00390625
'1,'Header 1,"'Routledge Taylor & Francis Group",'1,'68.40820313
'1,'Figure 2,"",'2,'28.73535156
'1,'Header 2,"'ISSN: 0459-7222 (Print) 1479-9022 (Online) Journal homepage: https://www.tandfonline.com/loi/tmib20",'3,'46.97265625
'1,'Title 1,"'NATO and non-NATO Europe",'4,'45.14160156
'1,'Text 1,"'To cite this article: (2001) NATO and non-NATO Europe, , 101:1, 29-104, DOI: 10.1080/04597220108460153",'5,'86.52343750
'1,'Text 2,"'To link to this article: https://doi.org/10.1080/04597220108460153",'6,'76.56250000
'1,'Figure 3,"",'7,'95.99609375
'1,'Text 3,"'Published online: 22 Jan 2009.",'8,'97.16796875
'1,'Figure 4,"",'9,'96.48437500
'1,'Text 4,"'Submit your article to this journal",'10,'98.09570313
'1,'Figure 5,"",'11,'95.99609375
'1,'Text 5,"'Article views: 937",'12,'98.43750000
'1,'Figure 6,"",'13,'95.06835938
'1,'Text 6,"'View related articles",'14,'98.04687500
'1,'Figure 7,"",'15,'94.53125000
'1,'Text 7,"'Citing articles: 1 View citing articles",'16,'97.36328125
'1,'Footer 1,"'Full Terms & Conditions of access and use can be found at https://www.tandfonline.com/action/journallnformation?journalCode=tmib2",'17,'87.89062500
'2,'Header 3,"'NATO and Non-NATO Europe",'18,'42.62695313
'2,'Title 2,"'MILITARY DEVELOPMENTS",'19,'40.72265625
'2,'Section header 1,"'Regional trends",'20,'94.18945313
'2,'Text 8,"'Amid reports of overstretched militaries in Western Europe, the main topic in 2001 has been the building of the European Rapid Reaction Force (ERRF). The December 2000 Nice summit failed to resolve the central question: the feasibility of having a 60,000-strong force ready for deployment by 2003. And there is less talk about 'rapid reaction' and more about 'planned options' for likely scenarios. Meanwhile, the Balkan crisis shows no sign of disappearing, with the crisis in Macedonia unresolved and NATO pledged to provide a brigade-size force to disarm rebels once there is a stable cease-fire agreement. NATO enlargement and its effect on NATO's relations with the Russian Federation will be a major issue as the selection of new member states approaches following the November 2002 NATO summit in Prague.",'21,'97.11914063
'2,'Text 9,"'Terrorism continues to be a significant concern. In Spain, Euskada ta Askatasuna (ETA) has stepped up its bombing campaign, while in the UK, political debate over the future of Northern Ireland has been interspersed with terrorist attacks on mainland Britain by republican groups opposed to the Good Friday Agreement.",'22,'69.58007813
'2,'Section header 2,"'European Security and Defence Policy (ESDP)",'23,'94.58007813
'2,'Text 10,"'Insufficient defence spending is the biggest obstacle to the creation of a European force by 2003 (see the essay on the European Rapid Reaction Force, or ERRF, on page 283). In particular, combat support capabilities - such as airlift and air-to-air refuelling - will have to be greatly enhanced if a credible force is to be fielded for peacekeeping operations either in Europe or beyond. Another problem is the operational overstretch of some European armed forces. For example, the UK has some 40% of its army deployed or preparing for operations. In this context, it is hard to see how any significant extra commitment can be taken on. Aside from these practical problems of capability, overstretch and finance, there are considerable political difficulties. Turkey, which is not an EU member, is reluctant to agree to a European force drawing on NATO assets, and France is against sharing key NATO capabilities. There is also the concern, voiced by Ireland after the December 2000 Nice conference, that in a pan-European force, national influence over decision- making on deployment of national forces may be diluted. Nevertheless, plans have gone ahead. The EU Military Staff (EUMS) became operational on 11 June 2001 and had its first meeting with the NATO Military Committee on 12 June.",'24,'97.60742188
'2,'Section header 3,"'NATO",'25,'81.00585938
'2,'Text 11,"'The Balkans A positive sign in Balkans events was the agreement of 21 May 2001 between the Former Republic of Yugoslavia (FRY) authorities and the Liberation Army of Presevo, Medvedja and Bujanovac (UPCMB), and the subsequent handing-in of weapons by the UPCMB. Yugoslav forces were able to re-enter the de-militarised zone (DMZ) and 450 UPCMB members gave up their weapons. By 31 May 2001, the return of Yugoslav and Serb forces into one sector of the DMZ was complete. However, the activity of the National Liberation Army (NLA) in north-western Macedonia is presenting new challenges for NATO and European leaders. For some time, NATO has used Macedonia as a transit route for logistic support into Kosovo. NATO countries are obviously reluctant to get involved further, for fear of being drawn deeper into a potentially widening and lengthy conflict. Therefore, while NATO and EU leaders mediate in intense",'26,'96.82617188
'3,'Section header 4,"'30NATO and Non-NATO Europe",'27,'74.56054688
'3,'Text 12,"'negotiations, NATO military planners are preparing for the deployment of a brigade-sized force of 3,000 to Macedonia if a stable cease-fire is attained. The UK-led force would only be deployed on condition that an effective agreement was in place between the warring parties and would have the specific task of collecting weapons handed in by ethnic Albanian rebels operating inside Macedonia. With 40,000 peacekeepers, mostly from NATO countries, already deployed in Kosovo, NATO may have difficulty finding extra troops to cope with anything more than the relatively limited task of overseeing the handing-in of weapons.",'28,'98.33984375
'3,'Text 13,"'The diversity of national and foreign forces deployed in the Balkans (see Table 9) is an unusual and complex aspect of this peacekeeping operation.",'29,'80.76171875
'3,'Table 1,"",'30,'92.62695313
'3,'List 1,"",'31,'51.66015625
'3,'Text 14 - Part of List 1,"'Notes 1 Non-NATO contributions to SFOR II from Alb, A, Arg, Bg, Ea, SF, Irl, L, Mor, R, RF, Slvk, Slvn and Swe.",'32,'70.26367188
'3,'Text 15 - Part of List 1,"'2 Non-NATO contributions to KFOR from Arg, A, Az, Bg, SF, Ga, Irl, L, Mor, RF, Slvk, Slvn, Swe, CH, Ukr and the UAE.",'33,'93.50585938
'3,'Text 16 - Part of List 1,"'3 Forces of the Federation of Bosnia Herzegovina",'34,'94.58007813
'3,'Text 17 - Part of List 1,"'4 Republika Srpska Armed Forces",'35,'93.06640625
'3,'Text 18 - Part of List 1,"'5 National Liberation Army (NLA)",'36,'93.01757813
'3,'Text 19 - Part of List 1,"'6 Liberation Army of Presovo, Medvedja and Bujanovac (UCPMB)",'37,'95.60546875
'3,'Section header 5,"'NATO ENLARGEMENT",'38,'84.47265625
'3,'Text 20,"'The question of NATO enlargement will become more prominent as the autumn 2002 Prague summit approaches. Altogether nine countries are applying for membership: Slovenia, Romania, Bulgaria, Slovakia, Estonia, Lithuania, Latvia, Albania and Macedonia. Croatia might also apply. It is very unlikely that all these candidates will be successful. On the other hand, in his speech at Warsaw University on 15 June 2001, President George W. Bush signalled a US willingness to consider a 'big bang' approach that would at least open serious talks about accession with all",'39,'92.13867188
'4,'Header 4,"'NATO and Non-NATO Europe 31",'40,'54.19921875
'4,'Text 21,"'applicants. The most likely successes are Slovenia and Slovakia, followed by the Baltic states. The US favours the Baltic option, whereas some NATO European states, such as France, would like to see enlargement in south-eastern Europe, although the qualifications of the most strategically and economically significant NATO applicant in that region - Romania - have been slipping. There is also some support for accession by Bulgaria, Slovakia and Slovenia, but neither Albania nor Macedonia are likely to meet the criteria for membership in this round. The most contentious issue is the prospective membership of the Baltic States, which is strongly opposed by Russia. Moscow views the Baltic States as part of the Russian sphere of influence and a key strategic area. These countries are geographically, ethnically and historically close to Russia. The position of Kaliningrad, a Russian region separated from the Federation and flanked by potential NATO member Lithuania and current member Poland, is an added reason for Russian sensitivity about NATO membership for the Baltic states. Given this context, Russia's participation in the NATO Baltops naval exercise in July 2001 was an encouraging sign of willingness to cooperate militarily in the Baltic area.",'41,'99.21875000
'4,'Section header 6,"'Conventional Armed Forces in Europe (CFE)",'42,'88.81835938
'4,'Text 22,"'Russian base closures in Georgia Following the 19 November 1999 Istanbul Declaration on the Adaptation of the Conventional Armed Forces in Europe (CFE) Treaty and the Bilateral Georgia- Russia Protocol on the closure of Russian bases in Georgia, Russian troops have withdrawn from the Vaziani airbase. The withdrawal was complete by the 1 July 2001 deadline and intense negotiations continue between the Georgians and the Russians over the closure of the other three bases - Gudauta, Akhalkalaki and Batumi. Gudauta, located in the separatist region of Abkhazia, was also to have been closed by 1 July 2001; however, the Russians, who maintain a peacekeeping force in this disputed region, claim that it is unsafe to close the base. The Abkhaz, who see the Russian presence as crucial to their future security and a deterrent to any Georgian military attempt to recapture Abkhazia, would resist such a move, possibly with violence. The Russian preference is for the base to be turned into a rehabilitation and logistic base for the peacekeeping force, thereby maintaining a foothold in the area. Georgia, which would not be able to verify any withdrawal of Russian troops from the disputed territory, has reached a compromise agreement with the Russians on the status of the base. Russian peacekeepers already deployed in Abkhazia will guard installations at the Gudauta base. They will be lightly armed, and the Georgian government is to approve a list of their weapons. All other military equipment is to be withdrawn from the territory.",'43,'97.85156250
'4,'Text 23,"'Meanwhile, the phase-two closure programme for Akhalkalaki and Batumi is being held up, and there are difficulties in closing the Sagareju ammunition site. The Russians claim that it will take up to 15 years for them to pull out of Akhalkalaki, which is in the Samtskhe-Javakheti region, populated mostly by ethnic Armenians. The base is tied economically to the rouble, and is quite distinct from the rest of the country. The withdrawal of the Russian contingent - around 3,000 troops - would have a negative affect on the area's social and economic stability, since the base supports, directly and indirectly, a large proportion of the local population.",'44,'91.50390625
'4,'Text 24,"'Moldova Under a commitment given in the Final Act of the Agreement on Adaptation of the CFE Treaty, signed by the CFE states on 19 November 1999 in Istanbul, Russia is complying with its CFE Treaty obligations to withdraw or destroy all its military equipment in the Moldovan region of Transdniestr by the end of 2001. Under the treaty, Russia must destroy or withdraw 108 main battle tanks, 214 armoured fighting vehicles, 7 combat helicopters and 125 artillery systems. On 1 July 2001, Russian military specialists began the destruction of 10 T-64 main battle tanks. Meanwhile, the Moldovan government has signed an agreement with NATO under which the",'45,'95.01953125
'5,'Section header 7,"'32NATO and Non-NATO Europe",'46,'71.14257813
'5,'Text 25,"'alliance will assist Moldova in the destruction of mines and surplus munitions. This will be funded through NATO's Partnership for Peace Trust Fund.",'47,'97.07031250
'5,'Text 26,"'Missile Defence and Europe US missile-defence plans have divided opinion in Europe. Some countries - notably the UK - have publicly supported President Bush's plans for missile defence; others, France in particular, have voiced strong opposition. Those opposed to the deployment of a missile-defence system claim that the end of the 1972 Anti-Ballistic Missile (ABM) Treaty would see the end of the existing arms-control regime, resulting in the proliferation of weapons of mass destruction.",'48,'97.60742188
'5,'Text 27,"'Following meetings between presidents Bush and Vladimir Putin in Llubjana and Genoa, Russia has toned down its initial opposition to missile defence. This is despite the belief of influential figures in the Russian Ministry of Defence that the existing US plan for missile defence contains an anti-Russian element. However, the Russians acknowledge the validity of the concept of missile defence, having put forward their own ideas for such a system to defend Europe. The Russian proposal is for a flexible system of rapid response triggered by accurate threat analysis, rather than setting up a permanent structure. This proposal would require an upgraded S-300 air defence system and possibly an integrated multinational warning system. There is widespread scepticism about the feasibility of the Russian proposal. Critics claim that its purpose was solely to deflect Europeans from supporting the US missile-defence plans in Europe.",'49,'97.26562500
'5,'Section header 8,"'NON-NATO EUROPE",'50,'69.43359375
'5,'Section header 9,"'Sweden",'51,'69.77539063
