"'British Pound","'£","'2011","'2012","'2013",
"'GDP","'£","'1.52tr","'1.55tr","'",
"'","'US$","'2.43tr","'2.43tr","'",
"'per capita","'US$","'38,543","'38,543","'",
"'Growth","'%","'0.76","'-0.38","'",
"'Inflation","'%","'4.45","'2.73","'",
"'Def exp b","'£","'39.7bn","'","'",
"'","'US$","'63.6bn","'","'",
"'Def bdgt a","'£","'39bn","'38.7bn","'",
"'","'US$","'62.5bn","'60.8bn","'",
"'US$1=£","'","'0.62","'0.64","'",
,,,,

'Confidence Scores % (Table Cell)
"'88.81835938","'88.23242188","'91.30859375","'74.41406250","'64.06250000",
"'75.43945313","'74.95117188","'77.58789063","'63.23242188","'54.39453125",
"'71.38671875","'70.94726563","'73.38867188","'59.81445313","'51.46484375",
"'84.61914063","'84.08203125","'87.01171875","'70.89843750","'61.03515625",
"'83.10546875","'82.56835938","'85.44921875","'69.62890625","'59.96093750",
"'82.27539063","'81.73828125","'84.57031250","'68.94531250","'59.32617188",
"'70.60546875","'70.16601563","'72.60742188","'59.17968750","'50.92773438",
"'61.42578125","'61.03515625","'63.18359375","'51.46484375","'44.31152344",
"'74.85351563","'74.36523438","'77.00195313","'62.74414063","'54.00390625",
"'67.33398438","'66.89453125","'69.23828125","'56.39648438","'48.55957031",
"'87.35351563","'86.76757813","'89.79492188","'73.19335938","'62.98828125",
