"'Other","'ISR 10: 5 Beech 350 Shadow R1; Sentinel R1 (Option to be",
"'1 Fleet Protestion sy gp","'withdrawn from role post-Afghanistan)",
"'EQUIPMENT BY TYPE","'AEW&C 6 E-3D Sentry",
"'APC (T) 142: 118 BvS-10 Viking; 24 BvS-10 Mk2 Viking ARTY 50 TOWED 105mm 18 L-118 MOR 81mm 32 AT MSL MANPATS Javelin AMPHIBIOUS LANDING CRAFT LCAC 4 Griffon 2400TD AD SAM HVM RADAR LAND 4 MAMBA (Arthur) Royal Marines Reserve 600","'TKR/TPT 15: 1 A330 Voyager; 1 Tristar K1; 4 Tristar KC1; 4 VC-10C1K; 4 VC-10K3; 1 VC-10K4 TPT 67: Heavy 8 C-17A Globemaster; Medium 32: 10 C-130J Hercules; 14 C-130J-30 Hercules; 3 C-130K Hercules; 5 C-130K-30 Hercules; Light 14: 8 Beech 200 King Air (on lease); 3 Beech 200GT King Air (on lease); 3 BN-2A Islander CC2; PAX 13: 6 BAe-125 CC-3; 4 BAe-146 MkII; 2 Tristar C2; 1 Tristar C2A TRG 375: 91 EMB-312 Tucano T1; 101 G-115E Tutor; 28 Hawk 128*; 60 Hawk T1/1A/1W* (&60 more in store); 38 T67M/M260 Firefly",
"'Royal Air Force 36,800","'HELICOPTERS MRH 5: 1 AW139; 4 Bell 412EP Griffin HAR-2",
"'Flying hours 210/yr on fast jets; 290 on tpt ac; 240 on support hels; 90 on Sea King","'TPT 27 Medium 25 Sea King HAR-3A; Light 3 AW109E",
"'FORCES BY ROLE","'UAV CBT/ISR Heavy 10 MQ-9 Reaper",
"'FIGHTER","'MSL",
"'2 sqn with Typhoon FGR4","'AAM IR AIM-9L/9L/ISidewinder, IIR ASRAAM; ARH",
"'FIGHTER/GROUND ATTACK","'AIM-120B/C5 AMRAAM",
"'5 sqn with Tornado GR4/GR4A","'ARM ALARM",
"'2 sqn with Typhoon FGR4","'ASM Brimstone; Dual-Mode Brimstone; AGM-65G2",
"'ISR","'Maverick",
"'1 sqn with Beech 350 Shadow R1","'LACM Storm Shadow",
"'1 sqn with Sentinel R1","'BOMBS",
"'AIRBORNE EARLY WARNING & CONTROL","'Conventional Mk 82",
"'1 sqn with E-3D Sentry","'Laser-Guided/GPS: Paveway II; GBU-10 Paveway III;",
"'SEARCH & RESCUE","'Enhanced Paveway II/III; GBU-24 Paveway IV",
"'2 sqn with Sea King HAR-3A","'",
"'1 sqn with Bell 412EP Griffin HAR-2","'Royal Air Force Regiment",
"'TANKER/TRANSPORT","'FORCES BY ROLE",
"'1 sqn with Tristar C2/C2A/K1/KC1","'COMMAND",
"'TANKER","'3 (tactical Survive To Operate (STO)) sqn",
"'1 sqn with VC-10C1K/K3/K4","'MANOEUVRE",
"'TRANSPORT","'Other",
"'1 (comms) sqn with AS355 Squirrel; AW109E; BAe-125;","'7 field squadron",
"'BAe-146; BN-2A Islander CC2","'COMBAT SERVICE SUPPORT",
"'1 sqn with C-17A Globemaster","'1 (joint) AD trg unit with Rapier C",
"'3 sqn with C-130J/J-30/K/K-30 Hercules","'",
"'TRAINING","'Tri-Service Defence Helicopter School",
"'1 OCU sqn with Tornado","'HELICOPTERS",
"'1 OCU sqn with Typhoon","'MRH 11 Bell 412EP Griffin HT1",
"'2 OEU sqn with Typhoon, Tornado","'TPT Light 27: 25 AS350B Ecureuil; 2 AW109E",
"'1 OCU sqn with E-3D Sentry; Sentinel R1","'",
"'1 OEU sqn with E-3D Sentry; Sentinel R1","'Volunteer Reserve Air Forces",
"'1 OCU sqn with Sea King HAR-3A","'(Royal Auxiliary Air Force/RAF Reserve)",
"'1 sqn with Beech 200 King Air","'MANOEUVRE",
"'1 sqn with EMB-312 Tucano (T Mk1)","'Other",
"'3 sqn with Hawk T Mk1/1A/1W; Hawk 128","'5 field sqn",
"'3 sqn with Tutor","'COMBAT SUPPORT",
"'1 hel sqn with Bell 412EP Griffin HT1","'2 int sqn",
"'COMBAT/ISR UAV","'COMBAT SERVICE SUPPORT",
"'2 sqn with MQ-9 Reaper","'1 med sqn",
"'EQUIPMENT BY TYPE","'1 (air movements) sqn",
"'AIRCRAFT 318 combat capable","'1 (HQ augmentation) sqn",
"'FGA 230: 134 Tornado GR4/GR4A; 98 Typhoon","'1 (C-130 Reserve Aircrew) flt",
,

'Confidence Scores % (Table Cell)
"'68.75000000","'67.33398438",
"'45.43457031","'44.50683594",
"'41.13769531","'40.30761719",
"'36.71875000","'35.96191406",
"'52.39257813","'51.31835938",
"'52.14843750","'51.07421875",
"'38.13476563","'37.35351563",
"'38.13476563","'37.35351563",
"'39.69726563","'38.86718750",
"'42.35839844","'41.47949219",
"'45.23925781","'44.31152344",
"'39.77050781","'38.96484375",
"'39.06250000","'38.23242188",
"'50.04882813","'49.02343750",
"'49.87792969","'48.82812500",
"'45.53222656","'44.58007813",
"'48.36425781","'47.36328125",
"'48.73046875","'47.72949219",
"'39.13574219","'35.83984375",
"'46.19140625","'35.83984375",
"'48.46191406","'47.46093750",
"'52.49023438","'51.41601563",
"'52.34375000","'51.22070313",
"'50.97656250","'49.95117188",
"'47.04589844","'46.06933594",
"'39.96582031","'39.13574219",
"'39.77050781","'38.96484375",
"'49.78027344","'48.73046875",
"'47.50976563","'46.53320313",
"'70.65429688","'69.18945313",
"'55.27343750","'54.15039063",
"'59.81445313","'58.59375000",
"'59.37500000","'58.15429688",
"'59.52148438","'58.30078125",
"'69.28710938","'67.87109375",
"'61.76757813","'60.44921875",
"'63.37890625","'62.06054688",
"'65.03906250","'63.72070313",
"'75.73242188","'74.16992188",
"'71.48437500","'70.01953125",
"'71.48437500","'70.01953125",
"'77.09960938","'75.53710938",
"'70.16601563","'68.75000000",
"'72.99804688","'71.48437500",
"'69.43359375","'67.96875000",
"'82.03125000","'80.32226563",
