"row","indent","level_1","text","heading","qty","type"
1,1,1,"636","MBT","636","Subtotal"
1,1,1,"Challenger 2","MBT","294","Equipment"
1,1,1,"Challenger","MBT","338","Equipment"
1,1,1,"Chieftain","MBT","4","Equipment"
2,1,2,"Scorpion","LTTK1",NA,"Equipment"
3,1,3,"Scimitar","RECCE","318","Equipment"
3,1,3,"Sabre","RECCE","138","Equipment"
3,1,3,"Fuchs","RECCE","11","Equipment"
4,1,4,"(incl 'look-a-likes')","TOTAL AIFV/APC","2984","Equipment"
5,2,4,"Warrior","AIFV","575","Equipment"
5,2,4,"11AFV 432 Rarden","AIFV",NA,"Equipment"
6,2,4,"AFV 432","APC","1150","Equipment"
6,2,4,"FV103 Spartan","APC","597","Equipment"
6,2,4,"Saxon","APC","650","Equipment"
6,2,4,"Saracen","APC","1","Equipment"
7,1,5,"475","TOTAL ARTY","475","Subtotal"
8,2,5,"233","TOWED","233","Subtotal"
8,2,5,"105mm","TOWED",NA,"Equipment"
8,2,5,"L-118/-119","TOWED","166","Equipment"
8,2,5,"155mm","TOWED",NA,"Equipment"
8,2,5,"FH-70 SP 155mm","TOWED","67","Equipment"
8,2,5,"AS-90","TOWED","179","Equipment"
9,2,5,"227mm","MRL",NA,"Equipment"
9,2,5,"MLRS","MRL","63","Equipment"
10,1,6,"(incl 110 SP)","MOR 81mm:","543","Equipment"
11,1,7,"Milan","ATGW","876","Equipment"
11,1,7,"Swingfire (FV 102 Striker SP)","ATGW","60","Equipment"
11,1,7,"TOW RL94mm","ATGW",NA,"Equipment"
11,1,7,"LAW-80","ATGW",NA,"Equipment"
12,1,8,"HVM (SP)","SAM","135","Equipment"
12,1,8,"Starstreak (LML)","SAM","147","Equipment"
12,1,8,"Javelin","SAM","335","Equipment"
12,1,8,"Rapier (some 24 SP)","SAM","71","Equipment"
13,1,9,"Cymbeline (mor) AC6BN-2","SURV19",NA,"Equipment"
14,1,10,"258","ATTACK HEL","258","Subtotal"
14,1,10,"SA-341","ATTACK HEL","133","Equipment"
14,1,10,"Lynx AH-1/-7/-9","ATTACK HEL","125","Equipment"
15,1,11,"Phoenix","VAV",NA,"Equipment"
16,1,11,"RCL","LANDING CRAFT","6","Equipment"
16,1,11,"LCVP","LANDING CRAFT","4","Equipment"
16,1,11,"workboats","LANDING CRAFT","4","Equipment"
